"SAGDP2N Gross domestic product (GDP) by state 1/"
"Gross domestic product (GDP) by state: All industry total (Percent change from preceding period)" 
"Bureau of Economic Analysis" 
"State or DC"
"GeoFips","GeoName","1997-1998","1998-1999","1999-2000","2000-2001","2001-2002","2002-2003","2003-2004","2004-2005","2005-2006","2006-2007","2007-2008","2008-2009","2009-2010","2010-2011","2011-2012","2012-2013","2013-2014","2014-2015","2015-2016","2016-2017","2017-2018"
"34000","New Jersey",3.9,5.2,7.5,3.2,3.9,4.3,4.4,4.2,5.4,3.5,3.0,-1.7,1.8,0.8,4.1,2.7,2.5,4.1,2.1,3.1,4.3
"35000","New Mexico",-3.5,4.8,4.0,1.4,3.7,8.3,10.9,5.7,5.1,4.1,3.9,-2.0,2.4,3.1,1.1,0.9,4.6,-1.7,0.1,3.6,5.5
"36000","New York",3.7,6.5,5.7,4.6,1.1,2.1,5.5,6.3,5.6,3.5,-0.9,4.9,5.3,1.8,7.0,2.5,5.3,4.2,3.6,3.7,4.9
"37000","North Carolina",5.1,7.4,4.4,4.7,3.3,3.8,6.1,7.4,8.8,3.3,4.3,-1.7,2.1,2.9,2.9,3.6,4.3,5.9,3.0,3.8,5.2
"38000","North Dakota",6.8,1.1,5.8,5.2,6.8,9.2,4.9,5.4,7.0,9.8,10.6,0.9,10.7,16.2,24.7,4.9,8.7,-6.2,-7.6,1.7,6.0
"39000","Ohio",5.3,4.0,4.0,1.1,4.1,3.1,4.9,4.5,2.4,2.9,1.0,-3.1,3.5,5.7,2.9,3.7,5.7,2.8,1.9,3.9,4.7
"40000","Oklahoma",2.7,3.5,8.0,6.6,2.5,6.1,7.5,10.1,10.1,5.7,10.2,-8.7,4.9,7.9,5.1,5.3,7.2,-5.3,-3.6,5.0,6.7
"41000","Oregon",4.2,2.3,9.0,0.0,3.4,4.9,7.1,5.4,8.0,4.1,2.3,-2.8,2.0,4.1,2.3,2.8,5.6,7.4,5.8,5.1,5.6
"42000","Pennsylvania",4.7,4.6,4.6,4.2,2.8,4.1,5.9,4.9,4.1,6.5,3.8,-0.8,3.8,3.3,3.6,3.5,4.0,2.8,2.0,3.9,4.8
"44000","Rhode Island",6.2,5.1,6.9,4.3,5.9,5.6,7.4,4.4,5.6,0.3,-1.5,1.7,3.5,1.2,2.9,3.0,2.6,4.1,1.6,2.6,3.0
"45000","South Carolina",6.4,6.4,4.5,3.5,4.1,5.0,3.7,5.5,5.6,5.8,1.5,-1.2,2.5,3.8,3.1,4.4,4.9,6.2,4.3,4.3,3.8
"46000","South Dakota",6.2,4.3,7.8,3.6,12.0,4.2,8.0,3.5,4.0,8.8,5.7,-1.3,3.6,10.8,4.6,3.2,2.8,3.6,1.6,2.4,4.0
"47000","Tennessee",8.4,5.1,3.3,2.3,5.1,4.4,7.0,4.6,5.3,1.7,3.0,-0.4,2.2,4.6,6.0,3.2,3.9,6.1,3.6,4.0,5.1
"48000","Texas",5.8,5.5,8.4,4.6,1.8,5.4,9.2,8.8,10.0,8.6,5.0,-6.0,6.3,7.6,6.0,6.4,4.2,0.2,-0.2,5.8,7.3
"49000","Utah",8.0,6.0,6.5,4.2,3.8,4.1,8.3,9.9,12.7,8.0,1.2,-2.3,4.1,5.6,3.4,4.3,5.3,5.8,5.6,4.9,7.0
"50000","Vermont",4.3,6.8,6.7,5.3,4.6,4.8,7.3,3.7,3.4,1.6,4.0,0.7,4.8,3.8,2.7,0.7,2.1,3.3,3.0,3.1,3.4
"51000","Virginia",7.3,7.2,6.8,6.4,3.3,5.7,7.2,8.4,5.2,3.6,1.6,2.5,3.4,2.2,2.9,2.3,1.9,4.5,1.9,3.4,4.7
"53000","Washington",8.4,9.7,3.2,0.7,3.7,4.1,4.6,9.6,7.1,9.2,2.7,-0.6,3.4,3.8,5.6,4.6,5.5,6.4,4.8,6.0,7.8
"54000","West Virginia",3.2,4.4,1.9,3.2,3.3,2.7,5.6,8.1,6.1,3.7,5.9,1.4,3.7,5.0,1.3,2.4,1.4,-2.3,-0.7,4.7,6.0
"55000","Wisconsin",6.1,6.0,4.8,4.1,3.7,4.3,5.9,4.9,4.4,3.4,0.4,0.3,3.6,3.7,4.0,2.9,3.9,3.9,2.4,3.0,4.8
"56000","Wyoming",1.4,5.2,9.5,8.5,2.4,10.0,10.3,17.2,19.2,13.0,16.2,-15.3,3.8,5.3,-2.4,1.3,1.2,-4.1,-4.9,4.8,4.6
"91000","New England",5.1,5.6,8.8,3.3,2.8,3.8,6.5,4.5,5.3,4.8,1.7,0.1,3.2,2.1,3.7,2.0,3.1,5.2,2.7,3.1,4.2
"92000","Mideast",4.5,5.9,5.9,4.6,2.7,3.4,5.8,5.6,5.1,4.1,1.5,1.9,4.2,2.3,4.9,2.6,4.4,3.9,3.0,3.6,4.6
"93000","Great Lakes",5.4,5.5,4.9,1.6,3.5,3.5,4.7,4.3,3.6,3.5,-0.5,-2.4,4.2,4.2,3.9,3.2,4.4,3.5,2.2,3.2,4.6
"94000","Plains",4.7,4.4,6.5,2.7,4.0,5.4,6.4,5.1,4.3,5.6,3.1,-0.6,4.0,4.6,4.9,3.4,4.2,2.7,1.3,2.8,4.4
"95000","Southeast",6.5,6.6,5.0,4.2,4.0,5.4,7.4,7.9,5.9,3.2,1.2,-1.6,3.1,2.6,3.2,3.1,3.8,4.7,3.0,4.0,5.0
"96000","Southwest",5.3,5.7,7.8,4.5,2.4,5.9,8.7,9.1,9.6,7.6,4.4,-6.0,5.3,6.9,5.4,5.6,4.4,0.2,0.2,5.5,7.0
"97000","Rocky Mountain",8.2,7.8,9.0,3.6,2.6,4.0,6.0,9.2,8.1,7.4,4.0,-3.7,3.3,4.3,2.9,4.7,5.2,3.8,3.2,5.1,6.2
"98000","Far West",6.8,8.2,8.5,1.4,3.9,6.0,7.1,8.0,7.1,5.0,2.0,-3.3,2.9,3.8,4.4,4.9,5.5,6.5,4.2,5.4,5.9
"Legend / Footnotes:"
"1/ Gross Domestic Product (GDP) is in millions of current dollars (not adjusted for inflation). Industry detail is based on the 2012 North American Industry Classification System (NAICS). Calculations are performed on unrounded data."
"* The difference between the United States and sum-of-states reflects overseas activity, economic activity taking place outside the borders of the United States by the military and associated federal civilian support staff."
"Last updated: May 1, 2019-- new statistics for 2018; revised statistics for 2015-2017."
