State,Year,Population,LaborForce,Employed,Unemployed,Abrv
New Mexico,1982,968000.0,595252.0,540397.0,54855.0,NM
New York,1982,13464250.0,7978964.0,7303295.0,675669.0,NY
North Dakota,1982,479250.0,315885.0,298343.0,17542.0,ND
Ohio,1982,8045417.0,5126857.0,4475830.0,651027.0,OH
Texas,1982,10960167.0,7376503.0,6867966.0,508537.0,TX
Vermont,1982,386750.0,263223.0,244873.0,18350.0,VT
Washington,1982,3158000.0,2023476.0,1781699.0,241777.0,WA
Alaska,1983,319833.0,231721.0,208713.0,23008.0,AL
Arizona,1983,2190667.0,1386057.0,1264176.0,121881.0,AZ
California,1983,18725000.0,12293797.0,11090005.0,1203792.0,CA
Idaho,1983,689750.0,453993.0,413403.0,40590.0,ID
Maine,1983,853500.0,535851.0,491367.0,44484.0,ME
Michigan,1983,6718250.0,4291139.0,3674943.0,616196.0,MI
Minnesota,1983,3085417.0,2175118.0,2001040.0,174078.0,MN
Montana,1983,596250.0,396719.0,362488.0,34231.0,MT
New Mexico,1983,992417.0,608731.0,549893.0,58838.0,NM
New York,1983,13547417.0,8037315.0,7340372.0,696943.0,NY
North Dakota,1983,486917.0,320240.0,302120.0,18120.0,ND
Ohio,1983,8032750.0,5097422.0,4467277.0,630145.0,OH
Texas,1983,11286167.0,7643814.0,7037893.0,605921.0,TX
Vermont,1983,391667.0,264317.0,247314.0,17003.0,VT
Washington,1983,3186750.0,2056817.0,1828724.0,228093.0,WA
Alaska,1984,335667.0,245452.0,221308.0,24144.0,AL
Arizona,1984,2268833.0,1431770.0,1357616.0,74154.0,AZ
California,1984,19162167.0,12637075.0,11656587.0,980488.0,CA
Idaho,1984,699083.0,462704.0,428843.0,33861.0,ID
Maine,1984,865250.0,547680.0,513581.0,34099.0,ME
Michigan,1984,6742500.0,4337979.0,3851581.0,486398.0,MI
Minnesota,1984,3105000.0,2202696.0,2064312.0,138384.0,MN
Montana,1984,601417.0,401741.0,371262.0,30479.0,MT
New Mexico,1984,1011417.0,625064.0,576181.0,48883.0,NM
New York,1984,13629000.0,8104569.0,7523862.0,580707.0,NY
North Dakota,1984,489250.0,326772.0,309531.0,17241.0,ND
Ohio,1984,8040083.0,5096523.0,4614643.0,481880.0,OH
Texas,1984,11528417.0,7840165.0,7360153.0,480012.0,TX
Vermont,1984,396167.0,268562.0,254929.0,13633.0,VT
Washington,1984,3226083.0,2064244.0,1872645.0,191599.0,WA
Alaska,1985,343250.0,252127.0,227693.0,24434.0,AL
Arizona,1985,2352667.0,1487075.0,1392656.0,94419.0,AZ
California,1985,19644083.0,12982818.0,12051618.0,931200.0,CA
Idaho,1985,700333.0,466588.0,429858.0,36730.0,ID
Maine,1985,874583.0,551978.0,521602.0,30376.0,ME
Michigan,1985,6793833.0,4360316.0,3926319.0,433997.0,MI
Minnesota,1985,3122250.0,2228246.0,2094586.0,133660.0,MN
Montana,1985,603250.0,402891.0,371962.0,30929.0,MT
New Mexico,1985,1027667.0,649722.0,595598.0,54124.0,NM
New York,1985,13682667.0,8293107.0,7744513.0,548594.0,NY
North Dakota,1985,486583.0,332622.0,313695.0,18927.0,ND
Ohio,1985,8074083.0,5153700.0,4694344.0,459356.0,OH
Texas,1985,11752250.0,8028508.0,7463323.0,565185.0,TX
Vermont,1985,401750.0,278950.0,265592.0,13358.0,VT
Washington,1985,3258750.0,2097674.0,1922407.0,175267.0,WA
Alaska,1986,349917.0,255131.0,227228.0,27903.0,AL
Arizona,1986,2427250.0,1562728.0,1454740.0,107988.0,AZ
California,1986,20065167.0,13335690.0,12438577.0,897113.0,CA
Idaho,1986,707083.0,471760.0,431928.0,39832.0,ID
Maine,1986,883417.0,562749.0,533048.0,29701.0,ME
Michigan,1986,6857417.0,4398541.0,4010764.0,387777.0,MI
Minnesota,1986,3162333.0,2241061.0,2117295.0,123766.0,MN
Montana,1986,600333.0,401814.0,369942.0,31872.0,MT
New Mexico,1986,1055833.0,671408.0,608831.0,62577.0,NM
New York,1986,13717250.0,8438633.0,7913640.0,524993.0,NY
North Dakota,1986,486500.0,332507.0,313041.0,19466.0,ND
Ohio,1986,8102083.0,5222904.0,4791014.0,431890.0,OH
Texas,1986,11939500.0,8179583.0,7463198.0,716385.0,TX
Vermont,1986,407000.0,288936.0,276583.0,12353.0,VT
Washington,1986,3328417.0,2188078.0,2010442.0,177636.0,WA
Alaska,1987,345500.0,248599.0,223042.0,25557.0,AL
Arizona,1987,2511000.0,1618230.0,1513853.0,104377.0,AZ
California,1987,20525167.0,13743990.0,12945765.0,798225.0,CA
Idaho,1987,711167.0,470758.0,434907.0,35851.0,ID
Maine,1987,897917.0,584840.0,559295.0,25545.0,ME
Michigan,1987,6931333.0,4511201.0,4136577.0,374624.0,MI
Minnesota,1987,3198333.0,2280674.0,2163788.0,116886.0,MN
Montana,1987,597500.0,401148.0,371312.0,29836.0,MT
New Mexico,1987,1072917.0,675614.0,616772.0,58842.0,NM
New York,1987,13765500.0,8482355.0,8067764.0,414591.0,NY
North Dakota,1987,483583.0,330954.0,314330.0,16624.0,ND
Ohio,1987,8162917.0,5259505.0,4887075.0,372430.0,OH
Texas,1987,12017083.0,8274343.0,7576650.0,697693.0,TX
Vermont,1987,413250.0,295679.0,285139.0,10540.0,VT
Washington,1987,3398750.0,2257364.0,2091788.0,165576.0,WA
Alaska,1988,347000.0,248861.0,226968.0,21893.0,AL
Arizona,1988,2572083.0,1666073.0,1559871.0,106202.0,AZ
California,1988,20983083.0,14141442.0,13392506.0,748936.0,CA
Idaho,1988,716250.0,479124.0,450247.0,28877.0,ID
Maine,1988,914750.0,598659.0,576895.0,21764.0,ME
Michigan,1988,6967833.0,4552889.0,4211759.0,341130.0,MI
Minnesota,1988,3240500.0,2307357.0,2208614.0,98743.0,MN
Montana,1988,596083.0,404629.0,377736.0,26893.0,MT
New Mexico,1988,1083750.0,685612.0,634340.0,51272.0,NM
New York,1988,13802667.0,8546476.0,8181123.0,365353.0,NY
North Dakota,1988,481583.0,330983.0,315478.0,15505.0,ND
Ohio,1988,8230667.0,5317556.0,4996315.0,321241.0,OH
Texas,1988,12076500.0,8337079.0,7724807.0,612272.0,TX
Vermont,1988,422250.0,301054.0,292060.0,8994.0,VT
Washington,1988,3477250.0,2326789.0,2180097.0,146692.0,WA
Alaska,1989,350000.0,255617.0,237686.0,17931.0,AL
Arizona,1989,2618167.0,1718674.0,1627178.0,91496.0,AZ
California,1989,21459000.0,14552934.0,13806871.0,746063.0,CA
Idaho,1989,725667.0,489473.0,463567.0,25906.0,ID
Maine,1989,927500.0,614540.0,589826.0,24714.0,ME
Michigan,1989,6984833.0,4589440.0,4262061.0,327379.0,MI
Minnesota,1989,3268417.0,2351967.0,2250011.0,101956.0,MN
Montana,1989,596333.0,408809.0,385154.0,23655.0,MT
New Mexico,1989,1095500.0,696460.0,649729.0,46731.0,NM
New York,1989,13805167.0,8698808.0,8265201.0,433607.0,NY
North Dakota,1989,477417.0,330463.0,316267.0,14196.0,ND
Ohio,1989,8261167.0,5380101.0,5081552.0,298549.0,OH
Texas,1989,12216000.0,8442930.0,7881265.0,561665.0,TX
Vermont,1989,429750.0,305936.0,295100.0,10836.0,VT
Washington,1989,3554750.0,2451094.0,2306850.0,144244.0,WA
Alaska,1990,371967.0,268422.0,249038.0,19384.0,AL
Arizona,1990,2777098.0,1786186.0,1691876.0,94310.0,AZ
California,1990,22598254.0,15138423.0,14264158.0,874265.0,CA
Idaho,1990,728642.0,492490.0,465255.0,27235.0,ID
Maine,1990,939446.0,633069.0,599506.0,33563.0,ME
Michigan,1990,7014564.0,4607247.0,4255772.0,351475.0,MI
Minnesota,1990,3270576.0,2398899.0,2284147.0,114752.0,MN
Montana,1990,595669.0,403136.0,379100.0,24036.0,MT
New Mexico,1990,1118366.0,713787.0,666908.0,46879.0,NM
New York,1990,14078827.0,8813271.0,8343353.0,469918.0,NY
North Dakota,1990,463434.0,317217.0,304436.0,12781.0,ND
Ohio,1990,8231273.0,5419623.0,5114242.0,305381.0,OH
Texas,1990,12604402.0,8618927.0,8073257.0,545670.0,TX
Vermont,1990,429402.0,304774.0,289509.0,15265.0,VT
Washington,1990,3676359.0,2525326.0,2392891.0,132435.0,WA
Alaska,1991,381591.0,276276.0,252921.0,23355.0,AL
Arizona,1991,2854417.0,1805012.0,1697675.0,107337.0,AZ
California,1991,22780860.0,15126481.0,13960003.0,1166478.0,CA
Idaho,1991,751752.0,508081.0,476505.0,31576.0,ID
Maine,1991,943988.0,645139.0,596503.0,48636.0,ME
Michigan,1991,7073529.0,4595664.0,4172673.0,422991.0,MI
Minnesota,1991,3308424.0,2427606.0,2302626.0,124980.0,MN
Montana,1991,602293.0,405837.0,377804.0,28033.0,MT
New Mexico,1991,1139093.0,725155.0,673403.0,51752.0,NM
New York,1991,14099913.0,8741100.0,8108261.0,632839.0,NY
North Dakota,1991,463999.0,315214.0,301479.0,13735.0,ND
Ohio,1991,8297527.0,5431912.0,5080289.0,351623.0,OH
Texas,1991,12807208.0,8766240.0,8160512.0,605728.0,TX
Vermont,1991,432368.0,303590.0,283676.0,19914.0,VT
Washington,1991,3762333.0,2545980.0,2384323.0,161657.0,WA
Alaska,1992,394654.0,287216.0,261624.0,25592.0,AL
Arizona,1992,2954322.0,1873606.0,1732327.0,141279.0,AZ
California,1992,23048542.0,15304998.0,13880944.0,1424054.0,CA
Idaho,1992,775171.0,531126.0,497372.0,33754.0,ID
Maine,1992,945377.0,644489.0,597355.0,47134.0,ME
Michigan,1992,7128843.0,4678258.0,4258246.0,420012.0,MI
Minnesota,1992,3345228.0,2468394.0,2342262.0,126132.0,MN
Montana,1992,612721.0,417467.0,389391.0,28076.0,MT
New Mexico,1992,1164473.0,741883.0,688598.0,53285.0,NM
New York,1992,14116134.0,8751234.0,7997602.0,753632.0,NY
North Dakota,1992,466195.0,315924.0,300939.0,14985.0,ND
Ohio,1992,8342929.0,5503260.0,5097104.0,406156.0,OH
Texas,1992,13035341.0,9005336.0,8317300.0,688036.0,TX
Vermont,1992,434827.0,307571.0,288803.0,18768.0,VT
Washington,1992,3857918.0,2635812.0,2442480.0,193332.0,WA
Alaska,1993,403384.0,295432.0,272709.0,22723.0,AL
Arizona,1993,3070311.0,1949027.0,1824253.0,124774.0,AZ
California,1993,23149223.0,15261199.0,13817032.0,1444167.0,CA
Idaho,1993,802922.0,554106.0,520963.0,33143.0,ID
Maine,1993,948932.0,628854.0,583220.0,45634.0,ME
Michigan,1993,7175073.0,4742463.0,4400201.0,342262.0,MI
Minnesota,1993,3393198.0,2516375.0,2391535.0,124840.0,MN
Montana,1993,626483.0,422646.0,397102.0,25544.0,MT
New Mexico,1993,1191937.0,758589.0,705726.0,52863.0,NM
New York,1993,14157688.0,8715592.0,8026518.0,689074.0,NY
North Dakota,1993,470059.0,323927.0,310061.0,13866.0,ND
Ohio,1993,8396165.0,5501305.0,5136613.0,364692.0,OH
Texas,1993,13293974.0,9187561.0,8530187.0,657374.0,TX
Vermont,1993,438619.0,312578.0,296457.0,16121.0,VT
Washington,1993,3954336.0,2692270.0,2494999.0,197271.0,WA
Alaska,1994,409114.0,302371.0,279471.0,22900.0,AL
Arizona,1994,3214383.0,2104125.0,1974779.0,129346.0,AZ
California,1994,23194655.0,15256527.0,13944739.0,1311788.0,CA
Idaho,1994,830424.0,587134.0,555338.0,31796.0,ID
Maine,1994,951821.0,621684.0,578254.0,43430.0,ME
Michigan,1994,7225054.0,4807898.0,4519538.0,288360.0,MI
Minnesota,1994,3440836.0,2556437.0,2452054.0,104383.0,MN
Montana,1994,640828.0,432281.0,409630.0,22651.0,MT
New Mexico,1994,1224400.0,781343.0,730712.0,50631.0,NM
New York,1994,14176908.0,8678491.0,8075912.0,602579.0,NY
North Dakota,1994,474256.0,336807.0,324314.0,12493.0,ND
Ohio,1994,8434068.0,5548818.0,5239265.0,309553.0,OH
