Year,Abrv,State,unemp,labor,gdp,US_Border,border
1998,AK,Alaska,-11.900337472386157,0.12286554140772399,-6.1,US-Canada Border,17.438822206278726
1998,AZ,Arizona,-6.260116018666173,0.6948576693609709,8.3,US-Mexico Border,2.6045090605073096
1998,CA,California,-7.0232822652785405,0.3830857317193903,7.2,US-Mexico Border,6.654889114731866
1998,ID,Idaho,-0.7727387662286644,0.5131021074525011,5.2,US-Canada Border,-7.628852668332042
1998,ME,Maine,-11.375878192683508,-1.0905482403476108,5.0,US-Canada Border,-6.473982728224259
1998,MI,Michigan,-9.10376786674707,0.8937831416528486,4.3,US-Canada Border,7.144429052822532
1998,MN,Minnesota,-17.752140553390994,0.05975869406069645,6.7,US-Canada Border,3.266495024050453
1998,MT,Montana,4.150365631656161,1.2199165933147071,5.9,US-Canada Border,-2.6694494343949215
1998,NM,New Mexico,-4.10295610538336,0.05971899968268968,-3.5,US-Mexico Border,0.8069301884605862
1998,NY,New York,-13.407271260011356,0.0340040719490009,3.7,US-Canada Border,-5.518572602784733
1998,ND,North Dakota,6.214685870500802,-0.6622857541269012,6.8,US-Canada Border,-6.539078009612576
1998,TX,Texas,-8.455465282380015,-0.24337469607109696,5.8,US-Mexico Border,4.5685235510832145
1998,VT,Vermont,-13.639108886843553,0.7513109917866689,4.3,US-Canada Border,-6.825800146591742
1998,WA,Washington,-2.387207501694688,0.5368269180879626,8.4,US-Canada Border,-21.130026510051515
1999,AK,Alaska,2.1748515174653926,-0.7346420652042163,2.3,US-Canada Border,-8.127715344210184
1999,AZ,Arizona,3.4673370690120997,1.2078835474242933,8.3,US-Mexico Border,6.540591678251628
1999,CA,California,-12.42631084871576,-0.12189383143352828,8.6,US-Mexico Border,4.003380791417022
1999,ID,Idaho,-4.028476739621323,-1.5705784223457586,10.2,US-Canada Border,6.607945765028389
1999,ME,Maine,-12.773011107138554,1.4680301854093747,6.9,US-Canada Border,-4.822472641228382
1999,MI,Michigan,-4.910353578305971,1.3976536704992437,8.0,US-Canada Border,-0.2662231092494971
1999,MN,Minnesota,2.572853347524351,0.19311144543312508,5.0,US-Canada Border,1.1711097974205886
1999,MT,Montana,-5.602037564486462,0.2206073232807082,1.9,US-Canada Border,12.204783788794593
1999,NM,New Mexico,-8.886865777145502,-0.8373005581568282,4.8,US-Mexico Border,108.70517348846872
1999,NY,New York,-8.37821247972691,-0.015466637619887535,6.5,US-Canada Border,-1.0288585662977967
1999,ND,North Dakota,14.13610430112171,-1.586395659318307,1.1,US-Canada Border,2.811168218262705
1999,TX,Texas,-4.643682770114199,-0.46594557100324563,5.5,US-Mexico Border,8.284362457963091
1999,VT,Vermont,-13.293086359371397,-0.10572814155992427,6.8,US-Canada Border,8.391903076804908
1999,WA,Washington,1.7492851870434034,-0.24258658461013827,9.7,US-Canada Border,11.629671401259301
2000,AK,Alaska,-1.6804808887512568,-0.2978951016883502,8.3,US-Canada Border,0.8738921900097729
2000,AZ,Arizona,-11.447026524121739,-0.6613941751401176,6.0,US-Mexico Border,5.09247243807589
2000,CA,California,-5.987399410363925,1.0896343494489313,9.6,US-Mexico Border,0.12973060217897903
2000,ID,Idaho,-4.57706869000396,-0.5124700373346003,11.3,US-Canada Border,-2.911884092808792
2000,ME,Maine,-15.367130158973907,0.4285946962282239,7.2,US-Canada Border,-2.4323250464546198
2000,MI,Michigan,-2.7358497367020673,0.3068461967945524,4.2,US-Canada Border,10.902364474945525
2000,MN,Minnesota,14.813351130585172,0.6416427504249533,8.8,US-Canada Border,3.5593334358110074
2000,MT,Montana,-5.906710421404904,-0.25716269840087014,5.1,US-Canada Border,-19.829644982140458
2000,NM,New Mexico,-12.146170950736401,0.2782468075726685,4.0,US-Mexico Border,17.85143756715626
2000,NY,New York,-12.694568269502437,-0.430142612658857,5.7,US-Canada Border,0.13153029400099214
2000,ND,North Dakota,-9.917839995302934,-0.12721421123054188,5.8,US-Canada Border,2.3143839405360023
2000,TX,Texas,-8.488186008762677,-0.5819273291818972,8.4,US-Mexico Border,-2.971930992740235
2000,VT,Vermont,-5.541836639274167,-2.777514671678083,6.7,US-Canada Border,-4.9396247218314375
2000,WA,Washington,6.211765038572503,-2.1077135850093076,3.2,US-Canada Border,-9.294969774215767
2001,AK,Alaska,0.9236489906459644,-1.0353037287657907,6.1,US-Canada Border,-5.442458660430938
2001,AZ,Arizona,22.07754187477886,0.29465942208466434,4.2,US-Mexico Border,-7.115194061681162
2001,CA,California,10.385198105637938,-0.08647887815217414,1.3,US-Mexico Border,-4.557379563450437
2001,ID,Idaho,8.500187246462598,0.7691060176839626,-1.6,US-Canada Border,-5.234282241591782
2001,ME,Maine,14.154720931841558,-1.599633684951185,4.5,US-Canada Border,-14.169600066687217
2001,MI,Michigan,45.86970423390318,-1.5681649136830456,-0.9,US-Canada Border,-30.83789988661695
2001,MN,Minnesota,20.118192900826127,-0.1812781259777574,2.5,US-Canada Border,-9.793175646775243
2001,MT,Montana,-8.804224092747702,-1.160767750385261,4.4,US-Canada Border,-10.386585162191608
2001,NM,New Mexico,0.1355925985253581,0.5976066870029495,1.4,US-Mexico Border,-13.07191493267813
2001,NY,New York,6.5467953368649745,-0.45358735502418757,4.6,US-Canada Border,-4.2496947083912495
2001,ND,North Dakota,-1.449825431551377,-0.10438721493033487,5.2,US-Canada Border,-9.86029836282195
2001,TX,Texas,16.36389216534042,-0.3988159733822383,4.6,US-Mexico Border,-12.190214382685427
2001,VT,Vermont,19.105714189936474,0.6847995028559817,5.3,US-Canada Border,-5.790186248820373
